date,births,,,,,,
01-01-2015,8068,,,,,,
02-01-2015,10850,,,,,,
03-01-2015,8328,,,,,,
04-01-2015,7065,,,,,,
05-01-2015,11892,,,,,,
06-01-2015,12425,,,,,,
07-01-2015,12141,,,,,,
08-01-2015,12094,,,,,,
09-01-2015,11868,,,,,,
10-01-2015,8014,,,,,,
11-01-2015,7172,,,,,,
12-01-2015,11479,,,,,,
13-01-2015,11924,,,,,,
14-01-2015,12013,,,,,,
15-01-2015,12339,,,,,,
16-01-2015,11861,,,,,,
17-01-2015,8280,,,,,,
18-01-2015,7195,,,,,,
19-01-2015,10602,,,,,,
20-01-2015,12242,,,,,,
21-01-2015,12086,,,,,,
22-01-2015,11949,,,,,,
23-01-2015,11910,,,,,,
24-01-2015,8235,,,,,,
25-01-2015,7186,,,,,,
26-01-2015,11728,,,,,,
27-01-2015,11882,,,,,,
28-01-2015,11602,,,,,,
29-01-2015,11967,,,,,,
30-01-2015,11571,,,,,,
31-01-2015,7987,,,,,,
01-02-2015,7139,,,,,,
02-02-2015,11480,,,,,,
03-02-2015,12079,,,,,,
04-02-2015,11924,,,,,,
05-02-2015,11821,,,,,,
06-02-2015,11656,,,,,,
07-02-2015,8285,,,,,,
08-02-2015,7265,,,,,,
09-02-2015,11937,,,,,,
10-02-2015,12291,,,,,,
11-02-2015,11911,,,,,,
12-02-2015,12285,,,,,,
13-02-2015,11321,,,,,,
14-02-2015,8390,,,,,,
15-02-2015,7508,,,,,,
16-02-2015,11038,,,,,,
17-02-2015,11952,,,,,,
18-02-2015,12061,,,,,,
19-02-2015,11968,,,,,,
20-02-2015,11864,,,,,,
21-02-2015,8343,,,,,,
22-02-2015,7254,,,,,,
23-02-2015,11260,,,,,,
24-02-2015,11941,,,,,,
25-02-2015,11828,,,,,,
26-02-2015,11672,,,,,,
27-02-2015,11596,,,,,,
28-02-2015,7989,,,,,,
01-03-2015,7273,,,,,,
02-03-2015,11609,,,,,,
03-03-2015,12402,,,,,,
04-03-2015,11927,,,,,,
05-03-2015,11681,,,,,,
06-03-2015,11612,,,,,,
07-03-2015,7980,,,,,,
08-03-2015,6929,,,,,,
09-03-2015,11678,,,,,,
10-03-2015,12282,,,,,,
11-03-2015,11850,,,,,,
12-03-2015,12042,,,,,,
13-03-2015,10940,,,,,,
14-03-2015,8217,,,,,,
15-03-2015,7202,,,,,,
16-03-2015,11537,,,,,,
17-03-2015,12312,,,,,,
18-03-2015,11807,,,,,,
19-03-2015,11721,,,,,,
20-03-2015,12040,,,,,,
21-03-2015,8080,,,,,,
22-03-2015,7171,,,,,,
23-03-2015,11674,,,,,,
24-03-2015,12333,,,,,,
25-03-2015,11872,,,,,,
26-03-2015,12065,,,,,,
27-03-2015,11629,,,,,,
28-03-2015,8071,,,,,,
29-03-2015,7125,,,,,,
30-03-2015,11500,,,,,,
31-03-2015,12362,,,,,,
01-04-2015,11596,,,,,,
02-04-2015,12296,,,,,,
03-04-2015,11234,,,,,,
04-04-2015,7981,,,,,,
05-04-2015,6821,,,,,,
06-04-2015,11455,,,,,,
07-04-2015,12334,,,,,,
08-04-2015,11976,,,,,,
09-04-2015,11874,,,,,,
10-04-2015,11724,,,,,,
11-04-2015,8092,,,,,,
12-04-2015,7141,,,,,,
13-04-2015,11503,,,,,,
14-04-2015,12309,,,,,,
15-04-2015,11794,,,,,,
16-04-2015,11947,,,,,,
17-04-2015,11718,,,,,,
18-04-2015,8028,,,,,,
19-04-2015,7180,,,,,,
20-04-2015,11513,,,,,,
21-04-2015,12173,,,,,,
22-04-2015,11917,,,,,,
23-04-2015,11877,,,,,,
24-04-2015,11749,,,,,,
25-04-2015,8101,,,,,,
26-04-2015,7178,,,,,,
27-04-2015,11494,,,,,,
28-04-2015,12221,,,,,,
29-04-2015,11775,,,,,,
30-04-2015,11831,,,,,,
01-05-2015,12178,,,,,,
02-05-2015,8075,,,,,,
03-05-2015,7195,,,,,,
04-05-2015,11724,,,,,,
05-05-2015,12618,,,,,,
06-05-2015,11924,,,,,,
07-05-2015,11649,,,,,,
08-05-2015,11810,,,,,,
09-05-2015,8216,,,,,,
10-05-2015,7246,,,,,,
11-05-2015,11549,,,,,,
12-05-2015,12400,,,,,,
13-05-2015,11572,,,,,,
14-05-2015,11793,,,,,,
15-05-2015,12306,,,,,,
16-05-2015,8337,,,,,,
17-05-2015,7354,,,,,,
18-05-2015,11708,,,,,,
19-05-2015,12469,,,,,,
20-05-2015,12352,,,,,,
21-05-2015,12246,,,,,,
22-05-2015,12147,,,,,,
23-05-2015,8267,,,,,,
24-05-2015,7261,,,,,,
25-05-2015,7746,,,,,,
26-05-2015,12242,,,,,,
27-05-2015,12845,,,,,,
28-05-2015,12722,,,,,,
29-05-2015,12168,,,,,,
30-05-2015,8431,,,,,,
31-05-2015,7367,,,,,,
01-06-2015,11793,,,,,,
02-06-2015,11994,,,,,,
03-06-2015,11890,,,,,,
04-06-2015,11918,,,,,,
05-06-2015,12303,,,,,,
06-06-2015,8313,,,,,,
07-06-2015,7230,,,,,,
08-06-2015,11938,,,,,,
09-06-2015,12479,,,,,,
10-06-2015,12123,,,,,,
11-06-2015,12029,,,,,,
12-06-2015,12064,,,,,,
13-06-2015,8104,,,,,,
14-06-2015,7292,,,,,,
15-06-2015,12348,,,,,,
16-06-2015,12400,,,,,,
17-06-2015,12192,,,,,,
18-06-2015,12323,,,,,,
19-06-2015,11767,,,,,,
20-06-2015,8451,,,,,,
21-06-2015,7580,,,,,,
22-06-2015,11883,,,,,,
23-06-2015,12351,,,,,,
24-06-2015,12292,,,,,,
25-06-2015,12416,,,,,,
26-06-2015,12152,,,,,,
27-06-2015,8652,,,,,,
28-06-2015,7371,,,,,,
29-06-2015,11961,,,,,,
30-06-2015,12932,,,,,,
01-07-2015,13033,,,,,,
02-07-2015,13038,,,,,,
03-07-2015,10375,,,,,,
04-07-2015,7944,,,,,,
05-07-2015,7164,,,,,,
06-07-2015,12088,,,,,,
07-07-2015,13426,,,,,,
08-07-2015,12788,,,,,,
09-07-2015,12517,,,,,,
10-07-2015,12396,,,,,,
11-07-2015,8769,,,,,,
12-07-2015,7591,,,,,,
13-07-2015,11835,,,,,,
14-07-2015,12862,,,,,,
15-07-2015,12853,,,,,,
16-07-2015,12502,,,,,,
17-07-2015,12291,,,,,,
18-07-2015,8546,,,,,,
19-07-2015,7681,,,,,,
20-07-2015,12424,,,,,,
21-07-2015,13264,,,,,,
22-07-2015,12519,,,,,,
23-07-2015,12852,,,,,,
24-07-2015,12612,,,,,,
25-07-2015,8748,,,,,,
26-07-2015,7836,,,,,,
27-07-2015,12416,,,,,,
28-07-2015,13240,,,,,,
29-07-2015,12739,,,,,,
30-07-2015,12797,,,,,,
31-07-2015,12269,,,,,,
01-08-2015,8851,,,,,,
02-08-2015,7907,,,,,,
03-08-2015,12449,,,,,,
04-08-2015,13149,,,,,,
05-08-2015,12793,,,,,,
06-08-2015,12872,,,,,,
07-08-2015,12770,,,,,,
08-08-2015,8956,,,,,,
09-08-2015,7726,,,,,,
10-08-2015,12333,,,,,,
11-08-2015,13010,,,,,,
12-08-2015,12960,,,,,,
13-08-2015,12591,,,,,,
14-08-2015,12861,,,,,,
15-08-2015,8938,,,,,,
16-08-2015,7896,,,,,,
17-08-2015,12337,,,,,,
18-08-2015,13197,,,,,,
19-08-2015,12966,,,,,,
20-08-2015,13002,,,,,,
21-08-2015,12834,,,,,,
22-08-2015,9153,,,,,,
23-08-2015,7821,,,,,,
24-08-2015,12274,,,,,,
25-08-2015,13149,,,,,,
26-08-2015,12729,,,,,,
27-08-2015,12829,,,,,,
28-08-2015,12719,,,,,,
29-08-2015,8772,,,,,,
30-08-2015,7805,,,,,,
31-08-2015,12142,,,,,,
01-09-2015,13231,,,,,,
02-09-2015,12799,,,,,,
03-09-2015,12839,,,,,,
04-09-2015,12862,,,,,,
05-09-2015,8950,,,,,,
06-09-2015,7778,,,,,,
07-09-2015,8127,,,,,,
08-09-2015,12823,,,,,,
09-09-2015,13949,,,,,,
10-09-2015,13925,,,,,,
11-09-2015,12295,,,,,,
12-09-2015,9062,,,,,,
13-09-2015,7900,,,,,,
14-09-2015,12699,,,,,,
15-09-2015,13439,,,,,,
16-09-2015,13136,,,,,,
17-09-2015,13319,,,,,,
18-09-2015,13229,,,,,,
19-09-2015,9195,,,,,,
20-09-2015,8078,,,,,,
21-09-2015,12567,,,,,,
22-09-2015,13047,,,,,,
23-09-2015,12595,,,,,,
24-09-2015,12942,,,,,,
25-09-2015,12792,,,,,,
26-09-2015,8927,,,,,,
27-09-2015,7778,,,,,,
28-09-2015,12158,,,,,,
29-09-2015,12791,,,,,,
30-09-2015,12284,,,,,,
01-10-2015,13043,,,,,,
02-10-2015,12399,,,,,,
03-10-2015,8579,,,,,,
04-10-2015,7530,,,,,,
05-10-2015,12166,,,,,,
06-10-2015,12520,,,,,,
07-10-2015,12429,,,,,,
08-10-2015,12458,,,,,,
09-10-2015,12282,,,,,,
10-10-2015,8550,,,,,,
11-10-2015,7571,,,,,,
12-10-2015,11633,,,,,,
13-10-2015,12094,,,,,,
14-10-2015,12205,,,,,,
15-10-2015,12522,,,,,,
16-10-2015,11917,,,,,,
17-10-2015,8233,,,,,,
18-10-2015,7211,,,,,,
19-10-2015,11388,,,,,,
20-10-2015,12500,,,,,,
